"b'RT @WhiteHouse: The opioid crisis has created stories of despair of shock, but also stories of recovery &amp; hope. President Trump is asking e\xe2\x80\xa6'",b'A total WITCH HUNT with massive conflicts of interest!',b'.@seanhannity on @foxandfriends now! Great! 8:18 A.M.',"b'Why does the Mueller team have 13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans? An\xe2\x80\xa6 https://t.co/wKNAVhWJcz'","b'Spent very little time with Andrew McCabe, but he never took notes when he was with me. I don\xe2\x80\x99t believe he made mem\xe2\x80\xa6 https://t.co/O4fdG6P0sN'","b'Wow, watch Comey lie under oath to Senator G when asked \xe2\x80\x9chave you ever been an anonymous source...or known someone\xe2\x80\xa6 https://t.co/2GxHCPXrJ3'",b'The Mueller probe should never have been started in that there was no collusion and there was no crime. It was base\xe2\x80\xa6 https://t.co/oMCKEA7WmJ',"b'The Fake News is beside themselves that McCabe was caught, called out and fired. How many hundreds of thousands of\xe2\x80\xa6 https://t.co/09lMF1jNHk'","b'As the House Intelligence Committee has concluded, there was no collusion between Russia and the Trump Campaign. As\xe2\x80\xa6 https://t.co/BF4giONbVG'",b'Happy #StPatricksDay https://t.co/4vVsW2smhB',"b'Andrew McCabe FIRED, a great day for the hard working men and women of the FBI - A great day for Democracy. Sanctim\xe2\x80\xa6 https://t.co/Cz8RmnXjLC'",b'\xe2\x80\x9cU.S. Consumer Confidence Hits 14-Year High\xe2\x80\x9d https://t.co/tXJsSRoM64',"b'It would be great for the Republican Party of Nevada, and it\xe2\x80\x99s unity if good guy Danny Tarkanian would run for Cong\xe2\x80\xa6 https://t.co/QyWFYavmnS'",b'Our thoughts and prayers go out to the families and loved ones of the brave troops lost in the helicopter crash on\xe2\x80\xa6 https://t.co/lNSNRvUa22',b'\xe2\x80\x9cPresident Donald J. Trump Delivers Remarks at the Shamrock\xe2\x98\x98\xef\xb8\x8fBowl Presentation by Prime Minister Varadkar in the Ea\xe2\x80\xa6 https://t.co/o7DliOumDx',b'Continuing to monitor the heartbreaking bridge collapse at FIU - so tragic. Many brave First Responders rushed in t\xe2\x80\xa6 https://t.co/vGKt6pSST9',b'It was my honor to welcome Prime Minister Leo Varadkar of Ireland to the @WhiteHouse! https://t.co/ZT3WnIZR2L',"b""RT @WhiteHouse: Yesterday, five @Cabinet Secretaries testified on the Hill on the need to rebuild our Nation's crumbling infrastructure. Pr\xe2\x80\xa6""","b'We do have a Trade Deficit with Canada, as we do with almost all countries (some of them massive). P.M. Justin Trud\xe2\x80\xa6 https://t.co/xSKFD5YNYm'",b'Larry Kudlow will be my Chief Economic Advisor as Director of the National Economic Council. Our Country will have\xe2\x80\xa6 https://t.co/uBMM8fsmL8'
0.0,0.0,1.0,0.0,-0.171875,0.1,0.0,0.0,0.0,0.8,0.4361111111111111,0.16,0.75,0.75,0.0,0.2,1.0,0.0,0.0,0.2
0.0,0.875,0.75,0.1,0.375,1.0,0.0,0.75,0.0,1.0,0.6805555555555555,0.5399999999999999,0.675,0.9,0.0,0.6458333333333334,0.9,0.0,1.0,0.2
